time,sentiment,weekly_sentiment,monthly_sentiment,open,high,low,close,adjusted_close,volume,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2022-06-07,0.020497014243241334,-0.012048944503445498,0.016370809102073856,266.635,273.13,265.94,272.5,271.158501177053,22860677.0,267.6603567215953,267.6603567215953,286.1608712938936,299.6887668714496,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-06,0.0597187410258173,-0.0016057103038196602,0.01299667989056644,272.06,274.18,267.22,268.75,267.42696217003,22400342.0,267.9103420117161,267.9103420117161,286.6020821084477,299.8377246832393,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-05,-0.01588203079901913,-0.0031671958042748436,0.012994339712408107,272.06,274.18,267.22,268.75,267.42696217003,22400342.0,267.9103420117161,267.9103420117161,286.6020821084477,299.8377246832393,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-04,0.01212805971529496,0.0017434604026992922,0.011126490014715459,272.06,274.18,267.22,268.75,267.42696217003,22400342.0,267.9103420117161,267.9103420117161,286.6020821084477,299.8377246832393,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-03,-0.06826870426002858,0.006733876818687421,0.006861145447906591,270.31,273.45,268.41,270.02,268.690710047075,28058958.0,268.06334991148947,268.06334991148947,287.04801743655645,299.96781536777746,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-02,-0.11758429464346046,0.01874555079304926,0.00958863442340774,264.45,274.65,261.6,274.58,273.228261479616,44008209.0,268.3985728703902,268.3985728703902,287.47428199643394,300.06172566252053,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-06-01,0.025048603194036085,0.031729888082830116,0.014064686409811504,275.195,277.69,270.04,272.42,271.07889501157,25292174.0,268.7661852557888,268.7661852557888,287.8528926524424,300.14178091417455,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-31,0.09359965364062221,0.02996917465218472,0.013355352239380038,272.53,274.77,268.93,271.87,270.531602623873,37827695.0,269.17036938663205,269.17036938663205,288.2514120064923,300.24008340341567,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-30,0.048788342522631006,0.027949855713277377,0.012022082517980984,272.53,274.77,268.93,271.87,270.531602623873,37827695.0,269.17036938663205,269.17036938663205,288.2514120064923,300.24008340341567,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-29,0.01849256264979982,0.016074476856919994,0.01089723867136524,272.53,274.77,268.93,271.87,270.531602623873,37827695.0,269.17036938663205,269.17036938663205,288.2514120064923,300.24008340341567,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-28,0.04706097462721187,0.02660594389940029,0.013614661688451388,272.53,274.77,268.93,271.87,270.531602623873,37827695.0,269.17036938663205,269.17036938663205,288.2514120064923,300.24008340341567,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-27,0.015813013560504283,0.03364220225026305,0.012335414267333287,268.48,273.34,267.56,273.24,271.894858207773,26910806.0,269.43463359642044,269.43463359642044,288.6801693881543,300.3324870196071,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-26,-0.026693933614994475,0.022982314347061498,0.011717180084027008,262.27,267.11,261.4294,265.9,264.590992524692,25002105.0,269.6306248926496,269.6306248926496,289.2204075180477,300.4030735473852,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-25,0.01272360917951835,0.031406247984225734,0.010885188142162716,258.14,264.58,257.125,262.52,261.227632033028,28547947.0,270.3278377454744,270.3278377454744,289.89054498294814,300.4960667989694,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-24,0.0794644210682708,0.03238688076978375,0.011244114625787893,257.89,261.33,253.5,259.62,258.341908534263,29043904.0,270.95319058883337,270.95319058883337,290.6098685379108,300.6033602696726,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-23,-0.034339309471870694,0.03457428796528723,0.009880499178747537,255.49,261.5,253.43,260.65,259.366837914859,33175379.0,271.7806173958325,271.7806173958325,291.3877674523435,300.7344085196568,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-22,0.09221283194716189,0.043315360608966506,0.009501093031230505,255.49,261.5,253.43,260.65,259.366837914859,33175379.0,271.7806173958325,271.7806173958325,291.3877674523435,300.7344085196568,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-21,0.09631478308325117,0.04083879666421862,0.006580979198504434,255.49,261.5,253.43,260.65,259.366837914859,33175379.0,271.7806173958325,271.7806173958325,291.3877674523435,300.7344085196568,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,208.509022241601
2022-05-20,-0.058806201761906526,0.016306736873606436,0.0048066674160240404,257.24,258.54,246.44,252.56,251.316664430373,39199279.0,272.9613461532308,272.9613461532308,292.1814699620995,300.8659080819018,287.850043474633,251.316664430373,313.093255439457,251.316664430373,339.886189703787,206.809514074449
2022-05-19,0.032273601845155174,0.02238341127993037,0.007052186196561004,253.9,257.67,251.88,253.14,251.893809130126,32692286.0,274.55600339975706,274.55600339975706,293.0487399776547,301.0379545801975,287.850043474633,251.893809130126,313.093255439457,251.893809130126,339.886189703787,206.809514074449
2022-05-18,0.01958803867842441,0.015280743664558116,0.007504561410021103,263.0,263.6,252.77,254.08,252.829181574553,31355985.0,276.0695470061091,276.0695470061091,293.9221257960052,301.1922625788147,294.788700636808,252.829181574553,313.093255439457,252.829181574553,339.886189703787,206.809514074449
2022-05-17,0.09477627143679519,0.018479963414298386,0.005970265104241366,266.11,268.33,262.46,266.82,264.860157941587,28828799.0,277.92845859109246,277.92845859109246,294.7092870079173,301.3449037462628,299.15638182616,253.474407204798,313.093255439457,253.474407204798,339.886189703787,206.809514074449
2022-05-16,0.02684819903388425,0.003329467692707916,0.010274289389681527,259.955,265.82,255.78,261.5,259.579234321734,32550933.0,279.5216695703903,279.5216695703903,295.36137845433285,301.42604073446256,299.15638182616,253.474407204798,313.093255439457,253.474407204798,339.886189703787,206.809514074449
2022-05-15,0.07487688433392665,0.0024785751659822147,0.00815972531523883,259.955,265.82,255.78,261.5,259.579234321734,32550933.0,279.5216695703903,279.5216695703903,295.36137845433285,301.42604073446256,299.15638182616,253.474407204798,313.093255439457,253.474407204798,339.886189703787,206.809514074449
2022-05-14,-0.0754096354510341,-0.019750531467718904,0.008396256626947707,259.955,265.82,255.78,261.5,259.579234321734,32550933.0,279.5216695703903,279.5216695703903,295.36137845433285,301.42604073446256,299.15638182616,253.474407204798,313.093255439457,253.474407204798,339.886189703787,206.809514074449
2022-05-13,-0.016269480917638985,-0.00045650702027584284,0.009669561570250436,257.35,263.04,255.35,261.12,259.202025491744,34925093.0,281.1072701961006,281.1072701961006,296.00773443171687,301.534026443704,308.596529124056,253.474407204798,313.093255439457,253.474407204798,339.886189703787,206.809514074449
2022-05-12,-0.01744507146245059,-0.00840622713629865,0.012439290359651283,257.69,259.88,250.02,255.35,253.474407204798,51033802.0,282.6687162212941,282.6687162212941,296.58475591117434,301.65174401574166,312.656487320522,253.474407204798,313.093255439457,253.474407204798,339.886189703787,206.809514074449
2022-05-11,0.04198257692660627,-0.022461542254373,0.013556642262869832,265.68,271.36,259.3,260.55,258.63621224676,48975898.0,284.6047239969684,284.6047239969684,297.2575880749133,301.79671802561603,312.656487320522,258.63621224676,313.093255439457,258.63621224676,339.886189703787,206.809514074449
2022-05-10,-0.011277198614338079,-0.026522486814601624,0.008022987016063621,271.69,273.75,265.07,269.5,267.520472847829,39336424.0,286.4199587700583,286.4199587700583,297.88969883387614,301.91746204296413,312.656487320522,262.636611154281,313.093255439457,262.636611154281,339.886189703787,206.809514074449
2022-05-09,0.02089195134680434,-0.02252613487703155,0.009907889051516754,270.06,272.36,263.32,264.58,262.636611154281,47725952.0,287.7832047170379,287.7832047170379,298.52955089139573,302.00617029491855,312.656487320522,262.636611154281,313.093255439457,262.636611154281,339.886189703787,206.809514074449
2022-05-08,-0.08072686210198116,-0.024972331057847574,0.01132743517633416,270.06,272.36,263.32,264.58,262.636611154281,47725952.0,287.7832047170379,287.7832047170379,298.52955089139573,302.00617029491855,312.656487320522,262.636611154281,313.093255439457,262.636611154281,339.886189703787,206.809514074449
2022-05-07,0.0596485356810673,-0.005782556186328757,0.013478505033362679,270.06,272.36,263.32,264.58,262.636611154281,47725952.0,287.7832047170379,287.7832047170379,298.52955089139573,302.00617029491855,312.656487320522,262.636611154281,313.093255439457,262.636611154281,339.886189703787,206.809514074449
2022-05-06,-0.07191752172979864,-0.012154771694458565,0.013919015207046866,274.805,279.25,271.27,274.73,272.712057534264,37780322.0,289.07696482691426,289.07696482691426,299.15573444402304,302.12235723116504,313.093255439457,268.235184315178,313.093255439457,268.235184315178,339.886189703787,206.809514074449
