,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,30_day_MA,50_day_MA,100_day_MA,200_day_MA,4_week_high,4_week_low,10_week_high,10_week_low,52_week_high,52_week_low
2021-09-20,296.33,298.72,289.52,294.3,291.00277204083,38278661,0.0,1.0,294.3987404321403,294.3987404321403,270.81654601613116,250.38160062801137,301.800428414211,283.18964284154,301.800428414211,254.007145058566,301.800428414211,161.326023760493
2021-09-17,304.17,304.5,299.53,299.87,296.510367828351,41372457,0.0,1.0,294.22087304290824,294.22087304290824,270.4129859246119,249.98445692375947,301.800428414211,282.686326173657,301.800428414211,253.868979698755,301.800428414211,160.965377099921
2021-09-16,303.76,305.31,300.76,305.22,301.800428414211,19550815,0.0,1.0,293.86139291828,293.86139291828,270.0273107690344,249.56390121415498,301.800428414211,282.686326173657,301.800428414211,250.266811389393,301.800428414211,160.955629892878
2021-09-15,303.26,305.32,301.82,304.82,301.404909865735,28356304,0.0,1.0,293.22655893292506,293.22655893292506,269.58459957232134,249.10638379272604,301.404909865735,282.686326173657,301.404909865735,249.260178053626,301.404909865735,159.357087937908
2021-09-14,299.56,301.39,298.1,299.79,296.431264118656,21853433,0.0,1.0,292.62497577287274,292.62497577287274,269.14190505130523,248.65654173708546,301.236814482633,282.686326173657,301.236814482633,249.260178053626,301.236814482633,159.357087937908
2021-09-13,297.55,298.54,294.08,296.99,293.662634279328,23652949,0.0,1.0,292.1135188216361,292.1135188216361,268.7097588153724,248.22488776247127,301.236814482633,282.686326173657,301.236814482633,247.503504193169,301.236814482633,149.941285934848
2021-09-10,298.415,299.92,295.38,295.71,292.396974924206,19633363,0.0,1.0,291.697310217992,291.697310217992,268.338874673773,247.80702781832056,301.236814482633,282.686326173657,301.236814482633,242.490075422878,301.236814482633,149.941285934848
2021-09-09,300.82,302.14,297.0,297.25,293.919721335837,19927000,0.0,1.0,291.3755957171615,291.3755957171615,267.95780376895607,247.37707664601243,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,148.264766323537
2021-09-08,299.78,300.61,297.4651,300.21,296.846558594555,15046819,0.0,1.0,290.99391197862246,290.99391197862246,267.56623161176816,246.94088706617447,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,148.264766323537
2021-09-07,301.005,301.09,298.2,300.18,296.81689470342,17184083,0.0,1.0,290.5251938826833,290.5251938826833,267.1650836309315,246.50003440287335,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,148.264766323537
2021-09-03,300.99,302.6,300.26,301.14,297.766139219761,14751610,0.0,1.0,290.14003483385954,290.14003483385954,266.75202290866434,246.05274814878513,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,145.915689426294
2021-09-02,302.2,303.3602,300.18,301.15,297.776027183473,16290545,0.0,1.0,289.74363013998703,289.74363013998703,266.290970808059,245.61453050380484,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,145.915689426294
2021-09-01,302.865,305.19,301.49,301.83,298.448408715881,18983826,0.0,1.0,289.23077115205433,289.23077115205433,265.85837402377746,245.18983330687138,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,143.205965868477
2021-08-31,304.42,304.5,301.5,301.88,298.49784853444,26285338,0.0,1.0,288.5395699688734,288.5395699688734,265.39365003604115,244.75824701120607,301.236814482633,281.087555581556,301.236814482633,242.490075422878,301.236814482633,143.205965868477
2021-08-30,301.115,304.22,301.06,303.59,300.188690329173,16348072,0.0,1.0,287.77829604211985,287.77829604211985,264.92784087365106,244.32117171860838,301.236814482633,281.087555581556,301.236814482633,241.957151892178,301.236814482633,132.542521363977
2021-08-27,298.987,300.87,296.83,299.72,296.362048372673,22605726,0.0,1.0,286.8846697743123,286.8846697743123,264.4195229796936,243.8810799699361,301.236814482633,277.712373220455,301.236814482633,241.957151892178,301.236814482633,132.542521363977
2021-08-26,300.99,302.429,298.95,299.09,295.739106658824,17666084,0.0,1.0,286.2416312016485,286.2416312016485,263.91648648582924,243.43298165531567,301.236814482633,275.659630731831,301.236814482633,239.934016266371,301.236814482633,132.542521363977
2021-08-25,304.3,304.59,300.42,302.01,298.626392062695,20006057,0.0,1.0,285.62856837676713,285.62856837676713,263.39959300918616,243.0241517577288,301.236814482633,273.379902294947,301.236814482633,239.343239798217,301.236814482633,132.542521363977
2021-08-24,305.02,305.65,302.0035,302.62,299.22955784912,18175774,0.0,1.0,284.9679495461664,284.9679495461664,262.8657406706121,242.62699644479122,301.236814482633,273.379902294947,301.236814482633,239.343239798217,301.236814482633,132.542521363977
2021-08-23,303.245,305.4,301.85,304.65,301.236814482633,22830157,0.0,1.0,284.23689352256304,284.23689352256304,262.25968970974054,242.22471878603267,301.236814482633,273.379902294947,301.236814482633,239.343239798217,301.236814482633,131.996677769597
2021-08-20,299.72,305.84,298.06,304.36,300.950063534988,40817646,0.0,1.0,283.3185277023882,283.3185277023882,261.56877769652624,241.77860259635543,300.950063534988,273.379902294947,300.950063534988,239.294008425871,300.950063534988,131.996677769597
2021-08-19,288.6935,297.47,288.64,296.77,293.445099077666,29850461,0.0,1.0,282.430116085964,282.430116085964,260.842135796869,241.28512735161897,293.445099077666,273.379902294947,293.445099077666,235.325959814769,293.445099077666,131.996677769597
2021-08-18,292.04,294.82,290.27,290.73,287.472768995687,21812985,0.56,1.0,281.7747637640454,281.7747637640454,260.2239224122357,240.80909153557786,290.739392859794,273.379902294947,290.739392859794,235.325959814769,290.739392859794,131.996677769597
2021-08-17,292.39,293.43,291.08,293.08,289.239311810415,20075250,0.0,1.0,281.4010593622704,281.4010593622704,259.67764170876404,240.3636032126547,290.739392859794,273.379902294947,290.739392859794,235.325959814769,290.739392859794,131.996677769597
