,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-10-08,296.219,296.6409,293.76,294.85,291.546610044984,17685700,0.0,1.0
2021-10-07,295.175,296.64,293.92,294.85,291.546610044984,20430471,0.0,1.0
2021-10-06,285.78,293.63,285.5093,293.11,289.826104359116,28002559,0.0,1.0
2021-10-05,284.0464,290.398,284.0464,288.76,285.524840144445,24993024,0.0,1.0
2021-10-04,287.4,287.75,280.25,283.11,279.938140647229,31350747,0.0,1.0
2021-10-01,282.1217,289.98,281.29,289.1,285.861030910649,30086280,0.0,1.0
2021-09-30,285.71,287.83,281.62,281.92,278.761472965514,32343635,0.0,1.0
2021-09-29,285.1,286.77,283.01,284.0,280.818169417587,26353696,0.0,1.0
2021-09-28,289.795,290.78,282.75,283.52,280.343547159416,43186237,0.0,1.0
2021-09-27,296.14,296.47,292.9449,294.17,290.874228512576,23571742,0.0,1.0
2021-09-24,298.23,299.8,296.93,299.35,295.996193715333,14998978,0.0,1.0
2021-09-23,298.845,300.9,297.5339,299.56,296.203840953283,18604601,0.0,1.0
2021-09-22,296.725,300.22,294.51,298.58,295.234820509518,26626342,0.0,1.0
2021-09-21,295.69,297.54,294.07,294.8,291.497170226425,22364103,0.0,1.0
2021-09-20,296.33,298.72,289.52,294.3,291.00277204083,38278661,0.0,1.0
2021-09-17,304.17,304.5,299.53,299.87,296.510367828351,41372457,0.0,1.0
2021-09-16,303.76,305.31,300.76,305.22,301.800428414211,19550815,0.0,1.0
2021-09-15,303.26,305.32,301.82,304.82,301.404909865735,28356304,0.0,1.0
2021-09-14,299.56,301.39,298.1,299.79,296.431264118656,21853433,0.0,1.0
2021-09-13,297.55,298.54,294.08,296.99,293.662634279328,23652949,0.0,1.0
2021-09-10,298.415,299.92,295.38,295.71,292.396974924206,19633363,0.0,1.0
2021-09-09,300.82,302.14,297.0,297.25,293.919721335837,19927000,0.0,1.0
2021-09-08,299.78,300.61,297.4651,300.21,296.846558594555,15046819,0.0,1.0
2021-09-07,301.005,301.09,298.2,300.18,296.81689470342,17184083,0.0,1.0
2021-09-03,300.99,302.6,300.26,301.14,297.766139219761,14751610,0.0,1.0
2021-09-02,302.2,303.3602,300.18,301.15,297.776027183473,16290545,0.0,1.0
2021-09-01,302.865,305.19,301.49,301.83,298.448408715881,18983826,0.0,1.0
2021-08-31,304.42,304.5,301.5,301.88,298.49784853444,26285338,0.0,1.0
2021-08-30,301.115,304.22,301.06,303.59,300.188690329173,16348072,0.0,1.0
2021-08-27,298.987,300.87,296.83,299.72,296.362048372673,22605726,0.0,1.0
2021-08-26,300.99,302.429,298.95,299.09,295.739106658824,17666084,0.0,1.0
2021-08-25,304.3,304.59,300.42,302.01,298.626392062695,20006057,0.0,1.0
2021-08-24,305.02,305.65,302.0035,302.62,299.22955784912,18175774,0.0,1.0
2021-08-23,303.245,305.4,301.85,304.65,301.236814482633,22830157,0.0,1.0
2021-08-20,299.72,305.84,298.06,304.36,300.950063534988,40817646,0.0,1.0
2021-08-19,288.6935,297.47,288.64,296.77,293.445099077666,29850461,0.0,1.0
2021-08-18,292.04,294.82,290.27,290.73,287.472768995687,21812985,0.56,1.0
2021-08-17,292.39,293.43,291.08,293.08,289.239311810415,20075250,0.0,1.0
2021-08-16,293.19,294.82,290.02,294.6,290.739392859794,22516027,0.0,1.0
2021-08-13,289.48,292.9,289.3,292.85,289.012325862154,17283015,0.0,1.0
2021-08-12,286.63,289.97,286.34,289.81,286.012163763397,14570391,0.0,1.0
2021-08-11,287.21,288.66,285.86,286.95,283.18964284154,13955934,0.0,1.0
2021-08-10,288.8,289.25,285.2,286.44,282.686326173657,18616578,0.0,1.0
2021-08-09,289.75,291.55,287.81,288.33,284.551558531108,16117629,0.0,1.0
2021-08-06,288.505,289.5,287.6238,289.46,285.666750363869,16589336,0.0,1.0
2021-08-05,286.88,289.63,286.1,289.52,285.725964089503,13900167,0.0,1.0
2021-08-04,286.22,287.5883,284.65,286.51,282.755408853562,16191301,0.0,1.0
2021-08-03,285.42,287.23,284.0,287.12,283.357415064168,17879048,0.0,1.0
2021-08-02,286.36,286.775,283.74,284.82,281.087555581556,16267357,0.0,1.0
2021-07-30,285.17,286.66,283.91,284.91,281.176376170006,20944846,0.0,1.0
2021-07-29,286.235,288.618,286.08,286.5,282.74553989929,17782235,0.0,1.0
2021-07-28,288.99,290.15,283.8303,286.22,282.469209179668,33566853,0.0,1.0
2021-07-27,289.43,289.575,282.95,286.54,282.785015716379,33604073,0.0,1.0
2021-07-26,289.0,289.69,286.642,289.05,285.262123238708,23176073,0.0,1.0
2021-07-23,287.37,289.99,286.5,289.67,285.873998403586,22768071,0.0,1.0
2021-07-22,283.84,286.42,283.42,286.14,282.39025754549,23384059,0.0,1.0
2021-07-21,278.905,281.52,277.29,281.4,277.712373220455,24364320,0.0,1.0
2021-07-20,278.03,280.97,276.26,279.32,275.659630731831,26259741,0.0,1.0
2021-07-19,278.9335,280.37,274.45,277.01,273.379902294947,32935634,0.0,1.0
2021-07-16,282.07,284.1,279.46,280.75,277.07089119276,26186848,0.0,1.0
2021-07-15,282.0,282.51,279.83,281.03,277.347221912382,22604227,0.0,1.0
2021-07-14,282.345,283.66,280.55,282.51,278.807827144672,23113662,0.0,1.0
2021-07-13,277.52,282.8477,277.39,280.98,277.297877141021,26120128,0.0,1.0
2021-07-12,279.157,279.77,276.58,277.32,273.685839877386,18931695,0.0,1.0
2021-07-09,275.72,278.05,275.32,277.94,274.297715042264,23916665,0.0,1.0
2021-07-08,276.9,278.73,274.87,277.42,273.784529420108,24618591,0.0,1.0
2021-07-07,279.4,280.6945,277.15,279.93,276.261636942437,23260031,0.0,1.0
2021-07-06,278.03,279.3698,274.3,277.66,274.021384322642,31565560,0.0,1.0
2021-07-02,272.82,278.0,272.5,277.65,274.01151536837,26474408,0.0,1.0
2021-07-01,269.61,271.84,269.6,271.6,268.040798033673,16725323,0.0,1.0
2021-06-30,270.69,271.3598,269.6043,270.9,267.349971234617,21656457,0.0,1.0
2021-06-29,268.865,271.65,267.98,271.4,267.843418948228,19937811,0.0,1.0
2021-06-28,266.185,268.9,265.91,268.72,265.198539203271,19590024,0.0,1.0
2021-06-25,266.23,267.25,264.76,265.02,261.547026122548,25611113,0.0,1.0
2021-06-24,266.16,267.85,265.47,266.69,263.195141486009,21446867,0.0,1.0
2021-06-23,265.99,266.83,264.43,265.275,261.798684456489,19518681,0.0,1.0
2021-06-22,262.72,265.79,262.4,265.51,262.030604881887,24694090,0.0,1.0
2021-06-21,259.82,263.52,257.92,262.63,259.188346051485,26696119,0.0,1.0
2021-06-18,259.63,262.3,258.75,259.43,256.030280684373,37202217,0.0,1.0
2021-06-17,256.065,261.75,256.01,260.9,257.48101696239,27565537,0.0,1.0
2021-06-16,259.4,260.58,254.42,257.38,254.007145058566,27036535,0.0,1.0
2021-06-15,259.775,259.99,257.68,258.36,254.974302577245,18038931,0.0,1.0
2021-06-14,257.9,259.95,256.8,259.89,256.484252580895,19150507,0.0,1.0
2021-06-11,257.985,258.4868,256.61,257.89,254.51046172645,18999731,0.0,1.0
2021-06-10,254.29,257.46,253.67,257.24,253.868979698755,24563619,0.0,1.0
2021-06-09,253.81,255.53,253.21,253.59,250.266811389393,17937634,0.0,1.0
2021-06-08,255.16,256.01,252.51,252.57,249.260178053626,22454998,0.0,1.0
2021-06-07,249.98,254.09,249.81,253.81,250.483928383382,23079167,0.0,1.0
2021-06-04,247.76,251.65,247.51,250.79,247.503504193169,25281094,0.0,1.0
2021-06-03,245.22,246.34,243.0,245.71,242.490075422878,25307711,0.0,1.0
2021-06-02,248.125,249.27,245.84,247.3,244.059239152162,19406705,0.0,1.0
2021-06-01,251.23,251.29,246.96,247.4,244.157928694884,23213310,0.0,1.0
2021-05-28,250.995,252.08,249.56,249.68,246.408050268952,18274942,0.0,1.0
2021-05-27,251.17,251.48,249.25,249.31,246.04289896088,24426244,0.0,1.0
2021-05-26,251.43,252.94,250.75,251.49,248.194330992225,17771600,0.0,1.0
2021-05-25,251.769,252.75,250.82,251.72,248.421316940486,17704303,0.0,1.0
2021-05-24,247.785,251.16,247.51,250.78,247.493635238897,21411547,0.0,1.0
2021-05-21,247.565,248.33,244.74,245.17,241.957151892178,21863058,0.0,1.0
2021-05-20,243.96,247.95,243.86,246.48,243.24998490184,21800716,0.0,1.0
2021-05-19,239.31,243.23,238.6,243.12,239.934016266371,25739807,0.56,1.0
2021-05-18,246.27,246.41,242.9,243.08,239.343239798217,20167975,0.0,1.0
2021-05-17,246.55,246.59,243.52,245.18,241.410957436757,24970168,0.0,1.0
2021-05-14,245.575,249.18,245.49,248.15,244.335300954121,23901081,0.0,1.0
2021-05-13,241.8,245.6,241.42,243.03,239.294008425871,29624298,0.0,1.0
2021-05-12,242.165,244.38,238.07,239.0,235.325959814769,36684370,0.0,1.0
2021-05-11,244.55,246.6,242.57,246.23,242.444816256027,33641589,0.0,1.0
2021-05-10,250.87,251.73,247.12,247.18,243.380212330605,29299890,0.0,1.0
2021-05-07,252.15,254.3,251.17,252.46,248.579045250362,27032912,0.0,1.0
2021-05-06,246.45,249.86,244.69,249.73,245.89101232026,26491085,0.0,1.0
2021-05-05,249.06,249.5,245.82,246.47,242.681126843289,21901325,0.0,1.0
2021-05-04,250.97,251.21,245.76,247.79,243.980835073228,32756052,0.0,1.0
2021-05-03,253.4,254.35,251.12,251.86,247.988268782208,19626568,0.0,1.0
2021-04-30,249.74,253.08,249.6,252.18,248.303349565223,30945098,0.0,1.0
2021-04-29,255.46,256.1,249.0,252.51,248.628276622708,40589023,0.0,1.0
2021-04-28,256.078,256.5399,252.95,254.56,250.646762888902,46903119,0.0,1.0
2021-04-27,261.585,263.19,260.12,261.97,257.942852270606,31014213,0.0,1.0
2021-04-26,261.66,262.435,260.17,261.55,257.529308742898,19763346,0.0,1.0
2021-04-23,257.88,261.51,257.27,261.15,257.135457764129,21499286,0.0,1.0
2021-04-22,260.21,261.78,255.64,257.17,253.216640525372,25606152,0.0,1.0
2021-04-21,258.94,260.68,257.25,260.58,256.574220119382,24030383,0.0,1.0
2021-04-20,257.82,260.2,256.84,258.26,254.289884442519,19722875,0.0,1.0
2021-04-19,260.19,261.48,257.821,258.74,254.762505617043,23209260,0.0,1.0
2021-04-16,259.47,261.0,257.6014,260.74,256.73176051089,24878582,0.0,1.0
2021-04-15,257.931,259.93,257.73,259.5,255.510822476705,25627481,0.0,1.0
2021-04-14,257.475,258.83,255.16,255.59,251.660929159233,23070938,0.0,1.0
2021-04-13,257.2573,259.19,256.83,258.49,254.516348755312,23837469,0.0,1.0
2021-04-12,254.71,257.67,254.62,255.91,251.976009942249,27148668,0.0,1.0
2021-04-09,252.87,255.99,252.44,255.85,251.916932295433,24326833,0.0,1.0
2021-04-08,252.77,254.139,252.0,253.25,249.356900933431,23625197,0.0,1.0
2021-04-07,247.81,250.93,247.19,249.9,246.058398986237,22719835,0.0,1.0
2021-04-06,247.61,249.4,246.88,247.86,244.049758994513,22931923,0.0,1.0
2021-04-05,242.76,249.96,242.7,249.07,245.24115820529,36910609,0.0,1.0
2021-04-01,238.47,242.84,238.0501,242.35,238.624461761963,30337982,0.0,1.0
2021-03-31,232.91,239.1,232.39,235.77,232.145613161205,43623471,0.0,1.0
2021-03-30,233.525,233.85,231.1,231.85,228.285873569264,24792012,0.0,1.0
2021-03-29,236.59,236.8,231.88,235.24,231.623760614335,25227455,0.0,1.0
2021-03-26,231.55,236.71,231.55,236.48,232.844698648521,25479853,0.0,1.0
2021-03-25,235.3,236.94,231.57,232.34,228.768341018257,34061853,0.0,1.0
2021-03-24,237.845,238.0,235.32,235.46,231.840378652659,25620127,0.0,1.0
2021-03-23,237.485,241.05,237.07,237.58,233.927788840137,31638376,0.0,1.0
2021-03-22,230.27,236.9,230.14,235.99,232.362231199528,30127005,0.0,1.0
2021-03-19,231.02,232.474,229.3496,230.35,226.808932398878,46430730,0.0,1.0
2021-03-18,232.56,234.19,230.33,230.72,227.17324455424,34852251,0.0,1.0
2021-03-17,236.15,238.55,233.23,237.04,233.396090018798,29562100,0.0,1.0
2021-03-16,236.28,240.055,235.94,237.71,234.055790408237,28092196,0.0,1.0
2021-03-15,234.96,235.185,231.81,234.81,231.200370812158,26042669,0.0,1.0
2021-03-12,234.01,235.82,233.23,235.75,232.125920612266,22653662,0.0,1.0
2021-03-11,234.96,239.17,234.31,237.13,233.484706489021,29907586,0.0,1.0
2021-03-10,237.0,237.0,232.04,232.42,228.84711121401,29746812,0.0,1.0
2021-03-09,232.88,235.3839,231.67,233.78,230.186204541827,33080531,0.0,1.0
2021-03-08,231.37,233.365,227.13,227.39,223.894435155984,35267440,0.0,1.0
2021-03-05,229.5165,233.27,226.46,231.6,228.039716707533,41872770,0.0,1.0
2021-03-04,226.735,232.49,224.26,226.73,223.244581041014,44727785,0.0,1.0
2021-03-03,232.155,233.5799,227.26,227.56,224.061821821961,34029526,0.0,1.0
2021-03-02,237.01,237.3,233.45,233.87,230.27482101205,22812459,0.0,1.0
2021-03-01,235.9,237.47,233.15,236.94,233.297627274106,25332837,0.0,1.0
2021-02-26,231.525,235.37,229.54,232.38,228.807726116133,37545055,0.0,1.0
2021-02-25,232.08,234.5852,227.88,228.99,225.469839071062,39118089,0.0,1.0
2021-02-24,230.01,235.2,229.0,234.55,230.944367675958,26339746,0.0,1.0
2021-02-23,230.325,234.83,228.73,233.27,229.684044543896,30228704,0.0,1.0
2021-02-22,237.42,237.93,232.4,234.51,230.904982578081,36182764,0.0,1.0
2021-02-19,243.75,243.86,240.18,240.97,237.265675885208,25262600,0.0,1.0
2021-02-18,241.8,243.93,240.86,243.79,240.042325285533,16925563,0.0,1.0
2021-02-17,241.32,244.31,240.94,244.2,240.446022538772,21451617,0.56,1.0
2021-02-16,245.03,246.13,242.92,243.7,239.404705395893,26728487,0.0,1.0
2021-02-12,243.9332,245.3,242.73,244.99,240.671968711283,16561079,0.0,1.0
2021-02-11,244.78,245.15,242.15,244.49,240.180781379737,15751059,0.0,1.0
2021-02-10,245.0,245.92,240.89,242.82,238.54021569237,22117240,0.0,1.0
2021-02-09,241.87,244.76,241.38,243.77,239.473471622309,23471475,0.0,1.0
